date,ind_prod_goods,bill_rates,equity_mkt_vol,unemployment,equity_mkt_uncertainty,equity_policy_uncertainty,ETF_DBA,ETF_GLD,ETF_USO
2008-01-02,108.86542903225806,3.18,0.47000,4.996774193548387,97.01,83.14,30.408634185791016,84.86000061035156,627.760009765625
2008-01-03,108.86025806451612,3.16,0.36000,4.993548387096774,12.12,189.34,31.127235412597656,85.56999969482422,626.9600219726562
2008-01-04,108.85508709677418,3.12,0.00000,4.990322580645161,45.17,103.24,31.454702377319336,85.12999725341797,618.47998046875
2008-01-07,108.8395741935484,3.19,0.00000,4.980645161290322,64.25,81.57,31.036273956298828,84.7699966430664,604.0
2008-01-08,108.83440322580644,3.17,0.50000,4.97741935483871,17.0,142.48,31.381929397583008,86.77999877929688,608.47998046875
2008-01-09,108.82923225806452,3.14,0.37000,4.974193548387097,74.77,123.42,31.25458335876465,86.55000305175781,602.0
2008-01-10,108.82406129032258,3.16,0.30000,4.970967741935484,77.44,110.12,31.381929397583008,88.25,592.1599731445312
2008-01-11,108.81889032258064,3.02,0.00000,4.967741935483871,76.18,232.13,33.15568923950195,88.58000183105469,584.719970703125
2008-01-14,108.80337741935485,3.11,0.00000,4.958064516129032,51.75,118.27,33.10110855102539,89.54000091552734,594.0
2008-01-15,108.7982064516129,3.09,0.00000,4.95483870967742,186.88,110.01,33.27394104003906,87.98999786376953,582.239990234375
2008-01-16,108.79303548387097,3.06,0.00000,4.951612903225807,6.32,173.22,33.13749694824219,86.69999694824219,574.7999877929688
2008-01-17,108.78786451612903,3.0,0.00000,4.948387096774193,25.14,99.6,34.11079406738281,86.5,568.239990234375
2008-01-18,108.7826935483871,2.79,0.39000,4.945161290322581,186.46,98.93,33.27394104003906,87.41999816894531,572.3200073242188
2008-01-22,108.76200967741936,2.3,2.65000,4.932258064516129,442.72,244.35,32.41889572143555,88.16999816894531,564.4000244140625
2008-01-23,108.75683870967742,2.16,1.43000,4.929032258064517,195.28,360.3,31.19091033935547,87.88999938964844,556.0
2008-01-24,108.75166774193548,2.32,1.47000,4.925806451612903,70.15,194.68,32.29154968261719,90.08000183105467,567.4400024414062
2008-01-25,108.74649677419356,2.25,0.39000,4.922580645161291,158.53,158.51,33.09201431274414,90.3000030517578,575.280029296875
2008-01-28,108.73098387096776,2.29,0.61000,4.912903225806452,345.99,287.54,33.71965026855469,91.75,578.7999877929688
2008-01-29,108.72581290322582,2.23,0.00000,4.909677419354839,124.66,421.02,33.40128707885742,91.1500015258789,583.8400268554688
2008-01-30,108.72064193548388,2.16,1.08000,4.9064516129032265,159.58,184.7,33.45586395263672,92.05999755859376,584.6400146484375
2008-01-31,108.71547096774194,1.92,0.00000,4.903225806451613,15.13,224.7,33.64688491821289,91.4000015258789,578.7999877929688
2008-02-01,108.7103,2.06,0.00000,4.9,92.13,167.94,33.88338851928711,89.3499984741211,563.760009765625
2008-02-04,108.54992413793104,2.22,0.00000,4.920689655172414,41.56,185.99,34.56560134887695,89.0999984741211,570.9600219726562
2008-02-05,108.49646551724138,2.14,0.48000,4.927586206896552,81.46,111.71,34.45644760131836,87.68000030517578,561.2000122070312
2008-02-06,108.44300689655172,2.05,0.00000,4.93448275862069,24.15,110.39,34.647464752197266,88.94999694824219,552.1599731445312
2008-02-07,108.38954827586208,2.12,0.00000,4.941379310344828,37.07,108.91,34.638370513916016,89.8499984741211,558.4000244140625
2008-02-08,108.33608965517242,2.18,0.00000,4.948275862068965,68.25,67.59,35.50251007080078,91.0,583.2000122070312
2008-02-11,108.17571379310344,2.25,0.00000,4.968965517241379,72.35,208.67,35.25691223144531,91.33000183105467,596.4000244140625
2008-02-12,108.1222551724138,2.25,0.49000,4.975862068965517,91.66,203.14,34.41096878051758,89.33000183105469,588.719970703125
2008-02-13,108.06879655172412,2.22,0.00000,4.982758620689655,189.85,61.36,34.41096878051758,89.44000244140625,592.8800048828125
2008-02-14,108.01533793103448,2.26,1.18000,4.989655172413793,55.48,90.29,35.4752197265625,89.70999908447266,606.0800170898438
2008-02-15,107.96187931034484,2.16,1.12000,4.996551724137931,31.89,123.89,35.638954162597656,89.1500015258789,607.4400024414062
2008-02-19,107.7480448275862,2.23,0.00000,5.024137931034483,24.64,147.05,36.448516845703125,91.58000183105467,630.47998046875
2008-02-20,107.69458620689656,2.2,0.00000,5.031034482758621,30.51,116.21,36.56676864624024,93.23999786376952,634.5599975585938
2008-02-21,107.64112758620688,2.15,0.30000,5.037931034482758,60.66,73.17,36.866943359375,93.25,618.6400146484375
2008-02-22,107.58766896551724,2.15,0.00000,5.044827586206896,19.62,134.5,37.248985290527344,93.38999938964844,628.7999877929688
2008-02-25,107.42729310344828,2.15,0.00000,5.06551724137931,10.06,107.27,38.38601303100586,92.73999786376952,629.9199829101562
2008-02-26,107.37383448275862,2.09,1.42000,5.072413793103448,161.98,70.95,39.095516204833984,93.70999908447266,640.7999877929688
2008-02-27,107.32037586206896,1.94,0.00000,5.079310344827586,18.03,139.63,38.62251281738281,94.77999877929688,631.3599853515625
2008-02-28,107.2669172413793,1.86,0.59000,5.086206896551724,10.07,76.74,38.46788024902344,95.98999786376952,651.8400268554688
2008-02-29,107.21345862068964,1.81,0.75000,5.093103448275862,50.86,142.87,37.80385208129883,96.18000030517578,643.3599853515625
2008-03-03,107.11609032258065,1.67,0.60000,5.0935483870967735,30.5,89.06,38.713478088378906,97.23999786376952,650.5599975585938
2008-03-04,107.09413548387096,1.63,1.35000,5.090322580645161,92.27,120.08,37.70379638671875,95.18000030517578,635.2000122070312
2008-03-05,107.07218064516128,1.5,0.00000,5.087096774193548,90.79,85.3,37.92210388183594,97.72000122070312,666.4000244140625
2008-03-06,107.0502258064516,1.37,0.59000,5.083870967741936,75.68,94.16,37.69469833374024,96.5,671.1199951171875
2008-03-07,107.02827096774192,1.42,0.38000,5.080645161290322,13.02,71.91,36.166534423828125,96.08999633789062,669.8400268554688
2008-03-10,106.9624064516129,1.33,0.00000,5.070967741935483,20.78,35.62,36.82146453857422,95.87000274658205,685.0399780273438
2008-03-11,106.94045161290322,1.45,0.46000,5.067741935483871,7.88,72.04,38.3314323425293,95.98999786376952,690.719970703125
2008-03-12,106.91849677419354,1.45,1.12000,5.064516129032258,12.76,75.36,38.19499206542969,97.01000213623048,695.3599853515625
2008-03-13,106.89654193548388,1.33,1.48000,5.061290322580645,10.09,94.21,38.65889739990234,98.33999633789062,697.6799926757812
2008-03-14,106.8745870967742,1.16,0.76000,5.058064516129032,12.99,69.27,37.47639465332031,98.70999908447266,692.0800170898438
2008-03-17,106.80872258064517,1.09,1.18000,5.048387096774193,252.58,146.24,35.356971740722656,99.16999816894533,666.4000244140625
2008-03-18,106.78676774193548,0.91,0.00000,5.04516129032258,149.64,319.82,35.3842658996582,96.5,686.4000244140625
2008-03-19,106.7648129032258,0.6,0.00000,5.041935483870968,62.35,376.02,34.56560134887695,93.04000091552734,658.3200073242188
2008-03-20,106.74285806451611,0.62,0.46000,5.038709677419354,63.05,129.08,32.791839599609375,89.91000366210938,650.4000244140625
2008-03-24,106.6550387096774,1.23,0.92000,5.025806451612903,15.76,72.04,34.33819961547852,90.0999984741211,642.0800170898438
2008-03-25,106.63308387096774,1.27,0.00000,5.02258064516129,57.44,94.8,35.175045013427734,92.7300033569336,651.760009765625
2008-03-26,106.61112903225806,1.27,0.59000,5.019354838709678,25.24,136.5,35.40245056152344,93.8000030517578,678.47998046875
2008-03-27,106.5891741935484,1.28,0.38000,5.016129032258064,45.46,89.06,34.88396453857422,93.45999908447266,685.8400268554688
2008-03-28,106.56721935483873,1.31,0.00000,5.012903225806451,27.63,154.34,34.201751708984375,91.87999725341795,674.9600219726562
2008-03-31,106.50135483870967,1.36,0.49000,5.003225806451613,49.88,76.0,33.15568923950195,90.41000366210938,650.8800048828125
2008-04-01,106.4794,1.38,0.48000,5.0,57.48,168.9,33.383094787597656,86.86000061035156,648.47998046875
2008-04-02,106.45913666666668,1.39,0.38000,5.013333333333334,89.68,141.52,34.51102066040039,89.2699966430664,670.239990234375
2008-04-03,106.43887333333332,1.38,0.86000,5.026666666666666,9.79,106.25,34.756622314453125,89.41999816894531,669.2000122070312
2008-04-04,106.41861,1.33,0.00000,5.04,26.62,70.98,34.94763946533203,90.25,679.0399780273438
2008-04-07,106.35782,1.43,0.00000,5.08,30.51,89.09,34.920352935791016,91.16999816894533,695.4400024414062
2008-04-08,106.33755666666669,1.39,0.00000,5.093333333333334,22.37,73.85,34.56560134887695,90.3499984741211,697.52001953125
2008-04-09,106.31729333333332,1.29,0.71000,5.1066666666666665,24.25,71.58,35.45703125,92.29000091552734,711.2000122070312
2008-04-10,106.29703,1.25,0.00000,5.12,10.05,80.43,35.62986373901367,91.7699966430664,705.4400024414062
2008-04-11,106.27676666666666,1.17,0.38000,5.133333333333334,6.53,94.47,35.09318542480469,91.3000030517578,707.8400268554688
2008-04-14,106.21597666666666,1.07,0.00000,5.173333333333334,52.18,79.5,35.438838958740234,91.11000061035156,717.1199951171875
